product_name,description,price,quantity,category
4K Smart TV,"55-inch, HDR, voice control",599.99,20,Electronics
Gaming Laptop,"15.6-inch, RTX 3070, 16GB RAM",1299.99,15,Computers
Wireless Mouse,"Ergonomic design, 18-month battery life",29.99,100,Computer Accessories
Mechanical Keyboard,"RGB backlit, Cherry MX switches",89.99,50,Computer Accessories
Noise-Cancelling Headphones,"Over-ear, 30-hour battery life",249.99,30,Audio
Portable SSD,"1TB, USB 3.2, shock-resistant",159.99,40,Storage
Smartwatch,"Fitness tracking, heart rate monitor",199.99,25,Wearable Tech
Wireless Charging Pad,"10W fast charging, compatible with Qi devices",24.99,75,Mobile Accessories
4K Webcam,"Auto-focus, built-in microphone",129.99,35,Computer Accessories
Graphic Tablet,"8192 pressure levels, tilt support",199.99,20,Computer Accessories